"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","63.48","63.44","63.48","62.55","13.54K","0.06%"
"Feb 07, 2019","63.44","63.89","66.67","62.06","16.64K","-0.71%"
"Feb 06, 2019","63.89","61.81","70.00","58.07","41.37K","3.37%"
"Feb 05, 2019","61.81","63.56","63.56","61.56","4.41K","-2.77%"
"Feb 04, 2019","63.56","64.68","64.82","63.53","3.51K","-1.72%"
"Feb 03, 2019","64.68","66.55","66.74","64.16","3.34K","-2.81%"
"Feb 02, 2019","66.55","65.14","66.90","65.03","4.09K","2.16%"
"Feb 01, 2019","65.14","64.72","65.87","64.12","7.16K","0.66%"
"Jan 31, 2019","64.72","67.55","68.76","63.61","10.93K","-4.19%"
"Jan 30, 2019","67.55","64.26","69.07","63.71","10.89K","5.12%"
"Jan 29, 2019","64.26","65.70","66.47","62.30","10.01K","-2.19%"
"Jan 28, 2019","65.70","72.15","72.15","62.92","23.69K","-8.95%"
"Jan 27, 2019","72.15","74.66","74.73","71.28","4.30K","-3.36%"
"Jan 26, 2019","74.66","75.50","76.40","74.32","4.03K","-1.11%"
"Jan 25, 2019","75.50","75.65","77.79","74.40","6.43K","-0.20%"
"Jan 24, 2019","75.65","76.35","76.42","74.63","4.40K","-0.91%"
"Jan 23, 2019","76.35","76.86","77.43","75.73","5.65K","-0.66%"
"Jan 22, 2019","76.86","75.08","77.77","72.38","8.55K","2.37%"
"Jan 21, 2019","75.08","75.23","77.42","74.21","8.14K","-0.20%"
"Jan 20, 2019","75.23","78.16","78.31","73.74","8.05K","-3.76%"
"Jan 19, 2019","78.16","76.48","80.11","76.04","8.88K","2.20%"
"Jan 18, 2019","76.48","78.91","78.91","75.74","5.85K","-3.08%"
"Jan 17, 2019","78.91","78.65","79.07","76.63","7.51K","0.33%"
"Jan 16, 2019","78.65","78.13","80.13","77.29","6.54K","0.67%"
"Jan 15, 2019","78.13","81.25","83.02","77.14","7.52K","-3.84%"
"Jan 14, 2019","81.25","78.38","84.12","77.28","14.82K","3.66%"
"Jan 13, 2019","78.38","84.01","88.67","75.38","33.52K","-6.70%"
"Jan 12, 2019","84.01","75.52","86.46","75.52","21.77K","11.24%"
"Jan 11, 2019","75.52","76.80","77.18","74.40","9.58K","-1.66%"
"Jan 10, 2019","76.80","88.10","91.22","76.21","27.81K","-12.83%"
"Jan 09, 2019","88.10","89.47","90.10","87.47","5.15K","-1.53%"
"Jan 08, 2019","89.47","89.81","90.59","88.09","5.65K","-0.38%"
"Jan 07, 2019","89.81","92.30","92.85","89.59","2.93K","-2.69%"
"Jan 06, 2019","92.30","90.18","93.77","88.86","5.66K","2.35%"
"Jan 05, 2019","90.18","89.94","93.99","88.87","7.55K","0.26%"
"Jan 04, 2019","89.94","90.50","92.27","87.12","9.72K","-0.62%"
"Jan 03, 2019","90.50","97.39","99.37","89.41","15.52K","-7.08%"
"Jan 02, 2019","97.39","94.70","98.89","92.91","8.36K","2.84%"
"Jan 01, 2019","94.70","86.81","98.11","86.39","9.82K","9.09%"
"Dec 31, 2018","86.81","91.50","91.50","86.58","7.26K","-5.13%"
"Dec 30, 2018","91.50","91.23","92.54","89.68","3.93K","0.72%"
"Dec 29, 2018","90.84","96.00","96.75","90.50","4.45K","-5.37%"
"Dec 28, 2018","96.00","86.60","97.57","84.07","21.54K","10.85%"
"Dec 27, 2018","86.60","96.95","99.71","85.66","15.53K","-10.68%"
"Dec 26, 2018","96.95","95.21","102.58","92.63","9.91K","1.83%"
"Dec 25, 2018","95.21","104.49","104.50","90.52","18.03K","-8.88%"
"Dec 24, 2018","104.49","109.48","116.35","103.03","22.94K","-4.56%"
"Dec 23, 2018","109.48","111.87","117.00","107.72","13.38K","-2.14%"
"Dec 22, 2018","111.87","111.27","118.69","104.94","31.04K","0.54%"
"Dec 21, 2018","111.27","114.18","134.00","105.37","35.13K","-2.55%"
"Dec 20, 2018","114.18","88.31","125.23","86.62","47.84K","29.30%"
"Dec 19, 2018","88.31","86.70","99.77","84.16","15.64K","1.85%"
"Dec 18, 2018","86.70","83.96","87.05","78.72","6.02K","3.26%"
"Dec 17, 2018","83.96","78.68","85.00","75.80","9.79K","6.71%"
