"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","2.3908","2.3698","2.3990","2.3649","1.07M","0.94%"
"Feb 07, 2019","2.3686","2.3786","2.3972","2.3522","1.28M","-0.42%"
"Feb 06, 2019","2.3786","2.4201","2.4293","2.3276","2.02M","-1.72%"
"Feb 05, 2019","2.4202","2.4167","2.4266","2.3793","1.08M","0.14%"
"Feb 04, 2019","2.4167","2.3970","2.4515","2.3891","1.64M","0.82%"
"Feb 03, 2019","2.3970","2.4853","2.4941","2.3820","2.24M","-3.62%"
"Feb 02, 2019","2.4870","2.3814","2.4944","2.3542","2.55M","4.43%"
"Feb 01, 2019","2.3814","2.3550","2.4071","2.3109","3.27M","1.12%"
"Jan 31, 2019","2.3550","2.3775","2.4179","2.3288","2.47M","-1.05%"
"Jan 30, 2019","2.3800","2.2989","2.3900","2.2677","2.70M","3.52%"
"Jan 29, 2019","2.2990","2.2619","2.3374","2.2211","2.74M","1.64%"
"Jan 28, 2019","2.2620","2.3780","2.3900","2.1883","4.64M","-4.93%"
"Jan 27, 2019","2.3792","2.4406","2.4737","2.3489","4.32M","-2.49%"
"Jan 26, 2019","2.4400","2.4779","2.5331","2.4400","2.28M","-1.47%"
"Jan 25, 2019","2.4765","2.4900","2.5089","2.4414","2.70M","-0.67%"
"Jan 24, 2019","2.4931","2.4634","2.5010","2.4328","3.21M","1.21%"
"Jan 23, 2019","2.4634","2.4784","2.5092","2.4357","2.17M","-0.61%"
"Jan 22, 2019","2.4784","2.3543","2.5417","2.3018","4.92M","5.27%"
"Jan 21, 2019","2.3544","2.3631","2.4284","2.3303","3.28M","-0.15%"
"Jan 20, 2019","2.3579","2.5009","2.5164","2.3079","4.73M","-5.88%"
"Jan 19, 2019","2.5051","2.4829","2.5944","2.4795","3.12M","0.89%"
"Jan 18, 2019","2.4830","2.5485","2.5541","2.4395","2.36M","-2.61%"
"Jan 17, 2019","2.5495","2.4630","2.5735","2.3968","4.25M","3.62%"
"Jan 16, 2019","2.4605","2.4178","2.5030","2.4001","3.26M","1.92%"
"Jan 15, 2019","2.4141","2.5095","2.5264","2.3833","3.18M","-3.80%"
"Jan 14, 2019","2.5095","2.2837","2.5361","2.2777","4.33M","9.98%"
"Jan 13, 2019","2.2818","2.4518","2.4682","2.2523","3.73M","-7.02%"
"Jan 12, 2019","2.4541","2.4400","2.4876","2.4304","2.19M","0.64%"
"Jan 11, 2019","2.4384","2.4526","2.5048","2.3849","3.28M","-0.77%"
"Jan 10, 2019","2.4572","2.9564","3.0388","2.3582","13.32M","-16.83%"
"Jan 09, 2019","2.9544","2.8400","3.0197","2.8200","6.63M","4.03%"
"Jan 08, 2019","2.8400","2.8319","2.9432","2.7871","4.68M","0.29%"
"Jan 07, 2019","2.8319","2.9400","2.9576","2.7841","4.85M","-3.70%"
"Jan 06, 2019","2.9407","2.7473","3.0009","2.6943","8.27M","7.04%"
"Jan 05, 2019","2.7472","2.7908","2.8648","2.7300","3.29M","-1.53%"
"Jan 04, 2019","2.7900","2.7495","2.8502","2.6751","5.77M","1.55%"
"Jan 03, 2019","2.7473","2.9607","2.9651","2.6813","5.36M","-7.28%"
"Jan 02, 2019","2.9631","2.7377","3.0041","2.7074","6.47M","8.25%"
"Jan 01, 2019","2.7374","2.6281","2.7600","2.5861","4.64M","4.36%"
"Dec 31, 2018","2.6230","2.7549","2.7613","2.5438","5.17M","-4.77%"
"Dec 30, 2018","2.7545","2.6876","2.7727","2.5901","4.61M","2.75%"
"Dec 29, 2018","2.6807","2.7381","2.8845","2.6575","6.79M","-2.09%"
"Dec 28, 2018","2.7378","2.3613","2.7937","2.3114","10.63M","15.88%"
"Dec 27, 2018","2.3627","2.6475","2.6723","2.3229","8.75M","-10.80%"
"Dec 26, 2018","2.6488","2.5904","2.7352","2.5467","7.41M","2.56%"
"Dec 25, 2018","2.5828","2.8348","2.8348","2.4803","10.76M","-9.03%"
"Dec 24, 2018","2.8392","2.8712","3.2042","2.8159","14.98M","-1.11%"
"Dec 23, 2018","2.8712","2.7000","3.0576","2.6805","12.29M","6.34%"
"Dec 22, 2018","2.7000","2.6717","2.7007","2.5364","6.21M","1.06%"
"Dec 21, 2018","2.6717","2.7986","2.8959","2.5611","11.75M","-4.59%"
"Dec 20, 2018","2.8001","2.5232","2.8696","2.4929","16.75M","10.99%"
"Dec 19, 2018","2.5228","2.7092","2.8801","2.5090","17.88M","-6.84%"
"Dec 18, 2018","2.7079","2.4500","2.7669","2.4112","17.76M","10.51%"
"Dec 17, 2018","2.4504","1.9444","2.5579","1.9432","18.49M","25.80%"
"Dec 16, 2018","1.9479","1.9228","2.0230","1.9150","6.48M","1.01%"
"Dec 15, 2018","1.9285","1.8480","1.9575","1.8130","5.75M","4.31%"
"Dec 14, 2018","1.8488","1.8721","1.9172","1.7814","6.92M","-1.24%"
"Dec 13, 2018","1.8721","2.0066","2.0211","1.8438","9.30M","-6.71%"
"Dec 12, 2018","2.0068","1.8581","2.0943","1.8379","10.42M","8.08%"
"Dec 11, 2018","1.8568","1.9518","1.9733","1.7896","8.68M","-4.87%"
"Dec 10, 2018","1.9518","2.0469","2.1037","1.9218","13.70M","-4.86%"
