"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","0.29519","0.29520","0.29800","0.29266","10.06M","0.03%"
"Feb 07, 2019","0.29510","0.29402","0.29886","0.29381","8.76M","0.41%"
"Feb 06, 2019","0.29389","0.30370","0.30456","0.29129","16.09M","-3.17%"
"Feb 05, 2019","0.30350","0.30148","0.30601","0.29931","8.87M","0.67%"
"Feb 04, 2019","0.30148","0.30590","0.30905","0.30017","12.60M","-1.41%"
"Feb 03, 2019","0.30580","0.31583","0.31768","0.30120","18.79M","-3.18%"
"Feb 02, 2019","0.31583","0.31250","0.31862","0.30847","18.10M","0.94%"
"Feb 01, 2019","0.31288","0.31510","0.31709","0.30216","26.05M","-0.83%"
"Jan 31, 2019","0.31550","0.32745","0.34247","0.30871","49.03M","-3.59%"
"Jan 30, 2019","0.32724","0.29237","0.33249","0.28960","49.32M","11.86%"
"Jan 29, 2019","0.29254","0.29744","0.29970","0.28722","17.91M","-1.65%"
"Jan 28, 2019","0.29744","0.31000","0.31159","0.28662","31.19M","-4.11%"
"Jan 27, 2019","0.31019","0.31852","0.31919","0.30720","13.37M","-2.62%"
"Jan 26, 2019","0.31852","0.31930","0.32500","0.31850","8.65M","-0.30%"
"Jan 25, 2019","0.31949","0.32372","0.32458","0.31617","8.89M","-1.12%"
"Jan 24, 2019","0.32310","0.32046","0.32555","0.31800","10.40M","0.82%"
"Jan 23, 2019","0.32046","0.32400","0.32555","0.31800","8.92M","-0.94%"
"Jan 22, 2019","0.32350","0.32213","0.32708","0.31007","18.97M","0.43%"
"Jan 21, 2019","0.32213","0.32190","0.32623","0.31749","10.98M","0.26%"
"Jan 20, 2019","0.32131","0.33531","0.33797","0.31546","22.76M","-4.16%"
"Jan 19, 2019","0.33526","0.32758","0.34567","0.32758","26.64M","2.35%"
"Jan 18, 2019","0.32757","0.33425","0.33513","0.32373","12.11M","-2.18%"
"Jan 17, 2019","0.33486","0.33368","0.33719","0.32650","16.51M","0.50%"
