"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","47.24","47.24","47.52","47.04","1.64K","0.20%"
"Feb 07, 2019","47.15","47.11","47.97","47.04","2.32K","0.23%"
"Feb 06, 2019","47.04","48.78","48.85","46.00","9.05K","-3.89%"
"Feb 05, 2019","48.95","49.10","49.10","48.50","1.99K","0.11%"
"Feb 04, 2019","48.89","48.80","49.04","48.50","3.35K","0.21%"
"Feb 03, 2019","48.79","50.28","50.48","48.48","4.57K","-2.18%"
"Feb 02, 2019","49.88","49.65","50.15","48.91","3.42K","0.83%"
"Feb 01, 2019","49.47","49.72","50.08","48.81","3.23K","-0.18%"
"Jan 31, 2019","49.56","50.48","51.00","49.50","5.75K","-1.83%"
"Jan 30, 2019","50.48","49.25","51.18","48.80","4.29K","2.50%"
"Jan 29, 2019","49.25","49.87","49.95","48.00","11.53K","-1.05%"
"Jan 28, 2019","49.78","51.63","51.63","48.54","23.55K","-3.59%"
"Jan 27, 2019","51.63","52.82","52.87","50.79","6.08K","-2.26%"
"Jan 26, 2019","52.82","53.15","54.10","52.77","5.51K","-0.61%"
"Jan 25, 2019","53.15","54.38","54.65","52.70","4.78K","-2.26%"
"Jan 24, 2019","54.38","52.94","54.52","52.39","5.90K","2.71%"
"Jan 23, 2019","52.94","53.19","53.81","52.00","5.03K","-0.46%"
"Jan 22, 2019","53.19","52.46","53.80","50.77","8.73K","1.50%"
"Jan 21, 2019","52.40","52.79","53.10","51.84","5.74K","-0.75%"
"Jan 20, 2019","52.79","54.77","55.13","51.75","11.74K","-3.59%"
"Jan 19, 2019","54.76","53.69","56.60","53.59","8.24K","2.01%"
"Jan 18, 2019","53.69","54.99","55.19","53.31","4.53K","-2.37%"
"Jan 17, 2019","54.99","53.57","55.33","53.21","6.62K","2.72%"
"Jan 16, 2019","53.53","54.25","55.85","53.00","12.16K","-1.33%"
"Jan 15, 2019","54.25","56.94","57.24","53.74","11.71K","-4.72%"
"Jan 14, 2019","56.94","53.56","58.00","53.50","15.33K","6.31%"
"Jan 13, 2019","53.56","56.37","57.04","53.13","16.74K","-5.00%"
"Jan 12, 2019","56.37","56.68","57.58","55.19","12.20K","-0.69%"
"Jan 11, 2019","56.76","55.41","60.20","55.01","58.55K","2.44%"
"Jan 10, 2019","55.41","61.31","62.22","53.45","26.11K","-9.60%"
"Jan 09, 2019","61.29","61.35","63.50","60.20","19.30K","-0.09%"
"Jan 08, 2019","61.35","61.87","63.53","60.71","10.94K","-0.84%"
"Jan 07, 2019","61.87","62.99","63.74","61.16","7.64K","-1.78%"
"Jan 06, 2019","62.99","58.89","64.88","58.24","29.89K","7.25%"
"Jan 05, 2019","58.73","60.11","61.99","58.63","10.70K","-2.30%"
"Jan 04, 2019","60.11","60.01","60.66","58.00","8.89K","0.17%"
"Jan 03, 2019","60.01","62.68","63.32","58.69","14.32K","-4.40%"
"Jan 02, 2019","62.78","61.28","64.48","59.61","15.37K","2.29%"
"Jan 01, 2019","61.37","57.43","61.81","56.89","8.57K","6.87%"
"Dec 31, 2018","57.43","61.26","61.58","57.32","12.65K","-6.28%"
"Dec 30, 2018","61.28","61.13","62.45","60.09","13.47K","0.44%"
"Dec 29, 2018","61.01","64.49","65.46","60.85","20.35K","-5.28%"
"Dec 28, 2018","64.41","57.06","64.76","56.53","14.44K","13.12%"
"Dec 27, 2018","56.94","62.08","62.82","56.47","12.31K","-8.28%"
"Dec 26, 2018","62.08","62.83","64.50","59.86","13.79K","-1.19%"
