"","date","market_price","avg_block_size","estimated_transaction_volume_usd","estimated_transaction_volume","output_volume","n_transactions","miners_revenue","difficulty","market_cap","cost_per_transaction","transaction_fees"
"1","2009-01-03 00:00:00",0,0.000285,0,0,50,1,0,1,0,0,0
"2","2009-01-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0
"3","2009-01-07 00:00:00",0,0,0,0,0,0,0,0,0,0,0
"4","2009-01-09 00:00:00",0,0.000215,0,0,700,14,0,1,0,0,0
"5","2009-01-11 00:00:00",0,0.00021538679245283,0,0,5300,106,0,1,0,0,0
"6","2009-01-13 00:00:00",0,0.000218078260869565,0,10,5778,116,0,1,0,0,0
"7","2009-01-15 00:00:00",0,0.000241748031496063,0,414,6911,136,0,1,0,0,0
"8","2009-01-17 00:00:00",0,0.000218231481481481,0,100,5500,109,0,1,0,0,0
"9","2009-01-19 00:00:00",0,0.000219554621848739,0,150,6100,120,0,1,0,0,0
"10","2009-01-21 00:00:00",0,0.00022753982300885,0,500,6150,115,0,1,0,0,0
"11","2009-01-23 00:00:00",0,0.000221940298507463,0,150,3500,68,0,1,0,0,0
"12","2009-01-25 00:00:00",0,0.000216969072164948,0,50,9750,195,0,1,0,0,0
"13","2009-01-27 00:00:00",0,0.00024252427184466,0,1150,6300,105,0,1,0,0,0
"14","2009-01-29 00:00:00",0,0.000215467213114754,0,0,6100,122,0,1,0,0,0
"15","2009-01-31 00:00:00",0,0.000215558139534884,0,0,6450,129,0,1,0,0,0
"16","2009-02-02 00:00:00",0,0.000215834645669291,0,0,6350,127,0,1,0,0,0
"17","2009-02-04 00:00:00",0,0.000222390243902439,0,38,6300,126,0,1,0,0,0
"18","2009-02-06 00:00:00",0,0.000215813953488372,0,0,6450,129,0,1,0,0,0
"19","2009-02-08 00:00:00",0,0.000217529850746269,0,1000,7700,135,0,1,0,0,0
"20","2009-02-10 00:00:00",0,0.000215669291338583,0,0,6350,127,0,1,0,0,0
"21","2009-02-12 00:00:00",0,0.000220483050847458,0,200,6100,119,0,1,0,0,0
"22","2009-02-14 00:00:00",0,0.00021586524822695,0,0,7050,141,0,1,0,0,0
"23","2009-02-16 00:00:00",0,0.000215886178861789,0,0,6150,123,0,1,0,0,0
"24","2009-02-18 00:00:00",0,0.000215935483870968,0,0,6200,124,0,1,0,0,0
"25","2009-02-20 00:00:00",0,0.000230453125,0,800,7200,129,0,1,0,0,0
"26","2009-02-22 00:00:00",0,0.000228586776859504,0,1050,7100,125,0,1,0,0,0
"27","2009-02-24 00:00:00",0,0.000215945945945946,0,0,5550,111,0,1,0,0,0
"28","2009-02-26 00:00:00",0,0.000215979166666667,0,0,4800,96,0,1,0,0,0
"29","2009-02-28 00:00:00",0,0.000256686274509804,0,1800,6900,103,0,1,0,0,0
"30","2009-03-02 00:00:00",0,0.000215942307692308,0,0,5200,104,0,1,0,0,0
"31","2009-03-04 00:00:00",0,0.000215716981132075,0,0,5300,106,0,1,0,0,0
"32","2009-03-06 00:00:00",0,0.000223940677966102,0,400,6300,119,0,1,0,0,0
"33","2009-03-08 00:00:00",0,0.000244357142857143,0,1550,7150,115,0,1,0,0,0
"34","2009-03-10 00:00:00",0,0.000215809523809524,0,0,5250,105,0,1,0,0,0
"35","2009-03-12 00:00:00",0,0.0002195,0,150,6050,119,0,1,0,0,0
"36","2009-03-14 00:00:00",0,0.000215939655172414,0,0,5800,116,0,1,0,0,0
"37","2009-03-16 00:00:00",0,0.000258369230769231,0,2400,8900,131,0,1,0,0,0
"38","2009-03-18 00:00:00",0,0.000215954545454545,0,0,5500,110,0,1,0,0,0
"39","2009-03-20 00:00:00",0,0.000227745762711864,0,600,6500,119,0,1,0,0,0
"40","2009-03-22 00:00:00",0,0.000229989473684211,0,550,5300,97,0,1,0,0,0
"41","2009-03-24 00:00:00",0,0.000215980952380952,0,0,5250,105,0,1,0,0,0
"42","2009-03-26 00:00:00",0,0.000244566371681416,0,1400,7050,114,0,1,0,0,0
"43","2009-03-28 00:00:00",0,0.000236226890756303,0,1000,6950,122,0,1,0,0,0
"44","2009-03-30 00:00:00",0,0.000215872,0,0,6250,125,0,1,0,0,0
"45","2009-04-01 00:00:00",0,0.000215878504672897,0,0,5350,107,0,1,0,0,0
"46","2009-04-03 00:00:00",0,0.000215955752212389,0,0,5650,113,0,1,0,0,0
"47","2009-04-05 00:00:00",0,0.000215968992248062,0,0,6450,129,0,1,0,0,0
"48","2009-04-07 00:00:00",0,0.000215989898989899,0,0,4950,99,0,1,0,0,0
"49","2009-04-09 00:00:00",0,0.000215888888888889,0,0,4950,99,0,1,0,0,0
"50","2009-04-11 00:00:00",0,0.000223229508196721,0,350,6450,123,0,1,0,0,0
"51","2009-04-13 00:00:00",0,0.000226991304347826,0,960,6750,118,0,1,0,0,0
"52","2009-04-15 00:00:00",0,0.000215732142857143,0,0,5600,112,0,1,0,0,0
"53","2009-04-17 00:00:00",0,0.00021584347826087,0,0,5750,115,0,1,0,0,0
"54","2009-04-19 00:00:00",0,0.000225344537815126,0,450,6400,121,0,1,0,0,0
"55","2009-04-21 00:00:00",0,0.000282983739837398,0,3500,9700,125,0,1,0,0,0
"56","2009-04-23 00:00:00",0,0.0002157875,0,0,4000,80,0,1,0,0,0
"57","2009-04-25 00:00:00",0,0.000215860655737705,0,0,6100,122,0,1,0,0,0
"58","2009-04-27 00:00:00",0,0.000215933333333333,0,0,5250,105,0,1,0,0,0
"59","2009-04-29 00:00:00",0,0.000215845528455285,0,0,6150,123,0,1,0,0,0
"60","2009-05-01 00:00:00",0,0.000215886178861789,0,0,6150,123,0,1,0,0,0
"61","2009-05-03 00:00:00",0,0.000230938596491228,0,699,6399.94,115,0,1,0,0,0
"62","2009-05-05 00:00:00",0,0.000242151515151515,0,1500,8100,133,0,1,0,0,0
"63","2009-05-07 00:00:00",0,0.000216,0,0,6050,121,0,1,0,0,0
"64","2009-05-09 00:00:00",0,0.000215582417582418,0,0,4550,91,0,1,0,0,0
"65","2009-05-11 00:00:00",0,0.000218848739495798,0,50,6050,120,0,1,0,0,0.1
"66","2009-05-13 00:00:00",0,0.000219339130434783,0,51,5850,117,0,1,0,0,0
"67","2009-05-15 00:00:00",0,0.00021906993006993,0,50,7249.99,145,0,1,0,0,0
"68","2009-05-17 00:00:00",0,0.000215952,0,0,6250,125,0,1,0,0,0
"69","2009-05-19 00:00:00",0,0.00021589,0,0,5000,100,0,1,0,0,0
"70","2009-05-21 00:00:00",0,0.000215932584269663,0,0,4450,89,0,1,0,0,0
"71","2009-05-23 00:00:00",0,0.000216,0,0,350,7,0,1,0,0,0
"72","2009-05-25 00:00:00",0,0.000215946428571429,0,0,5600,112,0,1,0,0,0
"73","2009-05-27 00:00:00",0,0.000215704,0,0,6250,125,0,1,0,0,0
"74","2009-05-29 00:00:00",0,0.000280205607476636,0,3000,8350,108,0,1,0,0,0
"75","2009-05-31 00:00:00",0,0.000216,0,0,5900,118,0,1,0,0,0
"76","2009-06-02 00:00:00",0,0.000215898876404494,0,0,4450,89,0,1,0,0,0
"77","2009-06-04 00:00:00",0,0.000215974358974359,0,0,1950,39,0,1,0,0,0
"78","2009-06-06 00:00:00",0,0.000215166666666667,0,0,1200,24,0,1,0,0,0
"79","2009-06-08 00:00:00",0,0.000215819444444444,0,0,3600,72,0,1,0,0,0
"80","2009-06-10 00:00:00",0,0.000215927710843374,0,0,4150,83,0,1,0,0,0
"81","2009-06-12 00:00:00",0,0.000215923076923077,0,0,4550,91,0,1,0,0,0
"82","2009-06-14 00:00:00",0,0.000215728571428571,0,0,3500,70,0,1,0,0,0
"83","2009-06-16 00:00:00",0,0.000215849315068493,0,0,3650,73,0,1,0,0,0
"84","2009-06-18 00:00:00",0,0.000215765432098765,0,0,4050,81,0,1,0,0,0
"85","2009-06-20 00:00:00",0,0.000215738095238095,0,0,4200,84,0,1,0,0,0
"86","2009-06-22 00:00:00",0,0.000301875,0,3000,7000,81,0,1,0,0,0
"87","2009-06-24 00:00:00",0,0.000222058823529412,0,125,4398.98,87,0,1,0,0,0
"88","2009-06-26 00:00:00",0,0.00024176404494382,0,1000,5450,90,0,1,0,0,0
"89","2009-06-28 00:00:00",0,0.00022043137254902,0,25,2600,52,0,1,0,0,0
"90","2009-06-30 00:00:00",0,0.000223655172413793,0,125,4495,89,0,1,0,0,0
"91","2009-07-02 00:00:00",0,0.000215708333333333,0,0,3600,72,0,1,0,0,0
"92","2009-07-04 00:00:00",0,0.000215898876404494,0,0,4450,89,0,1,0,0,0
"93","2009-07-06 00:00:00",0,0.000215978021978022,0,0,4550,91,0,1,0,0,0
"94","2009-07-08 00:00:00",0,0.000215949367088608,0,0,3950,79,0,1,0,0,0
"95","2009-07-10 00:00:00",0,0.000215878048780488,0,0,4100,82,0,1,0,0,0
"96","2009-07-12 00:00:00",0,0.000215802631578947,0,0,3800,76,0,1,0,0,0
"97","2009-07-14 00:00:00",0,0.000215944444444444,0,0,3600,72,0,1,0,0,0
"98","2009-07-16 00:00:00",0,0.000215942028985507,0,0,3450,69,0,1,0,0,0
"99","2009-07-18 00:00:00",0,0.000215,0,0,150,3,0,1,0,0,0
"100","2009-07-20 00:00:00",0,0.00021584,0,0,3750,75,0,1,0,0,0
"101","2009-07-22 00:00:00",0,0.000215550724637681,0,0,3450,69,0,1,0,0,0
"102","2009-07-24 00:00:00",0,0.00021588,0,0,3750,75,0,1,0,0,0
"103","2009-07-26 00:00:00",0,0.000215615384615385,0,0,650,13,0,1,0,0,0
"104","2009-07-28 00:00:00",0,0.00021575,0,0,2200,44,0,1,0,0,0
"105","2009-07-30 00:00:00",0,0.000251642857142857,0,105,850,16,0,1,0,0,0
"106","2009-08-01 00:00:00",0,0.000215695652173913,0,0,1150,23,0,1,0,0,0
"107","2009-08-03 00:00:00",0,0.000215533333333333,0,0,750,15,0,1,0,0,0
"108","2009-08-05 00:00:00",0,0.000215769230769231,0,0,4550,91,0,1,0,0,0
"109","2009-08-07 00:00:00",0,0.000215945945945946,0,0,3700,74,0,1,0,0,0
"110","2009-08-09 00:00:00",0,0.000215969387755102,0,0,4900,98,0,1,0,0,0
"111","2009-08-11 00:00:00",0,0.000215910447761194,0,0,3350,67,0,1,0,0,0
"112","2009-08-13 00:00:00",0,0.000215679012345679,0,0,4050,81,0,1,0,0,0
"113","2009-08-15 00:00:00",0,0.0002155,0,0,1700,34,0,1,0,0,0
"114","2009-08-17 00:00:00",0,0.000215823529411765,0,0,850,17,0,1,0,0,0
"115","2009-08-19 00:00:00",0,0.000215466666666667,0,0,750,15,0,1,0,0,0
"116","2009-08-21 00:00:00",0,0.000215,0,0,800,16,0,1,0,0,0
"117","2009-08-23 00:00:00",0,0.000215583333333333,0,0,600,12,0,1,0,0,0
"118","2009-08-25 00:00:00",0,0.000215527272727273,0,0,2750,55,0,1,0,0,0
"119","2009-08-27 00:00:00",0,0.000407366666666667,0,2300,3848.06,33,0,1,0,0,0
"120","2009-08-29 00:00:00",0,0.000215759036144578,0,0,4150,83,0,1,0,0,0
"121","2009-08-31 00:00:00",0,0.000223574468085106,0,300,5000,95,0,1,0,0,0
"122","2009-09-02 00:00:00",0,0.000215808823529412,0,0,3400,68,0,1,0,0,0
"123","2009-09-04 00:00:00",0,0.00021568253968254,0,0,3150,63,0,1,0,0,0
"124","2009-09-06 00:00:00",0,0.000215819444444444,0,0,3600,72,0,1,0,0,0
"125","2009-09-08 00:00:00",0,0.000215742424242424,0,0,3300,66,0,1,0,0,0
"126","2009-09-10 00:00:00",0,0.000215901639344262,0,0,3050,61,0,1,0,0,0
"127","2009-09-12 00:00:00",0,0.000215816901408451,0,0,3550,71,0,1,0,0,0
"128","2009-09-14 00:00:00",0,0.000215888888888889,0,0,4050,81,0,1,0,0,0
"129","2009-09-16 00:00:00",0,0.000219620689655172,0,1,2901,59,0,1,0,0,0
"130","2009-09-18 00:00:00",0,0.000215777777777778,0,0,4050,81,0,1,0,0,0
"131","2009-09-20 00:00:00",0,0.000215974683544304,0,0,3950,79,0,1,0,0,0
"132","2009-09-22 00:00:00",0,0.000243764705882353,0,400,2100,35,0,1,0,0,0
"133","2009-09-24 00:00:00",0,0.000215573170731707,0,0,4100,82,0,1,0,0,0
"134","2009-09-26 00:00:00",0,0.000215478723404255,0,0,4700,94,0,1,0,0,0
"135","2009-09-28 00:00:00",0,0.000215943181818182,0,0,4400,88,0,1,0,0,0
"136","2009-09-30 00:00:00",0,0.000215816091954023,0,0,4350,87,0,1,0,0,0
"137","2009-10-02 00:00:00",0,0.000231666666666667,0,500,4250,76,0,1,0,0,0
"138","2009-10-04 00:00:00",0,0.000215590163934426,0,0,3050,61,0,1,0,0,0
"139","2009-10-06 00:00:00",0,0.000261268292682927,0,200,2950,43,0,1,0,0,0
"140","2009-10-08 00:00:00",0,0.000215485714285714,0,0,3500,70,0,1,0,0,0
"141","2009-10-10 00:00:00",0,0.000215779220779221,0,0,3850,77,0,1,0,0,0
"142","2009-10-12 00:00:00",0,0.000354822580645161,0,5050,8150,63,0,1,0,0,0
"143","2009-10-14 00:00:00",0,0.00021575,0,0,2800,56,0,1,0,0,0
"144","2009-10-16 00:00:00",0,0.000360430769230769,0,9700,12950,66,0,1,0,0,0
"145","2009-10-18 00:00:00",0,0.000228859375,0,350,3550,65,0,1,0,0,0
"146","2009-10-20 00:00:00",0,0.000215531531531532,0,0,5550,111,0,1,0,0,0
"147","2009-10-22 00:00:00",0,0.000294883720930233,0,12850,17149.76,88,0,1,0,0,0
"148","2009-10-24 00:00:00",0,0.00021552,0,0,3750,75,0,1,0,0,0
"149","2009-10-26 00:00:00",0,0.0002158,0,0,3250,65,0,1,0,0,0
"150","2009-10-28 00:00:00",0,0.000215640625,0,0,3200,64,0,1,0,0,0
"151","2009-10-30 00:00:00",0,0.000274229508196721,0,1550,4600,62,0,1,0,0,0
"152","2009-11-01 00:00:00",0,0.000215333333333333,0,0,1500,30,0,1,0,0,0
"153","2009-11-03 00:00:00",0,0.000215649122807018,0,0,2850,57,0,1,0,0,0
"154","2009-11-05 00:00:00",0,0.000292921875,0,15500,18700,65,0,1,0,0,0
"155","2009-11-07 00:00:00",0,0.000215631578947368,0,0,3800,76,0,1,0,0,0
"156","2009-11-09 00:00:00",0,0.000215661538461538,0,0,3250,65,0,1,0,0,0
"157","2009-11-11 00:00:00",0,0.000323072463768116,0,18000,93450,78,0,1,0,0,0
"158","2009-11-13 00:00:00",0,0.000241728571428571,0,520,4100,73,0,1,0,0,0
"159","2009-11-15 00:00:00",0,0.000215583333333333,0,0,4800,96,0,1,0,0,0
"160","2009-11-17 00:00:00",0,0.000215681318681319,0,0,4550,91,0,1,0,0,0
"161","2009-11-19 00:00:00",0,0.000215342465753425,0,0,3650,73,0,1,0,0,0
"162","2009-11-21 00:00:00",0,0.000215714285714286,0,0,3850,77,0,1,0,0,0
"163","2009-11-23 00:00:00",0,0.000215875,0,0,4800,96,0,1,0,0,0
"164","2009-11-25 00:00:00",0,0.000215647058823529,0,0,4250,85,0,1,0,0,0
"165","2009-11-27 00:00:00",0,0.000215506666666667,0,0,3750,75,0,1,0,0,0
"166","2009-11-29 00:00:00",0,0.000215637931034483,0,0,2900,58,0,1,0,0,0
"167","2009-12-01 00:00:00",0,0.000215818181818182,0,0,3300,66,0,1,0,0,0
"168","2009-12-03 00:00:00",0,0.000215776470588235,0,0,4250,85,0,1,0,0,0
"169","2009-12-05 00:00:00",0,0.000215211538461538,0,0,2600,52,0,1,0,0,0
"170","2009-12-07 00:00:00",0,0.000215606382978723,0,0,4700,94,0,1,0,0,0
"171","2009-12-09 00:00:00",0,0.00025618085106383,0,2104,6985,104,0,1,0,0,0
"172","2009-12-11 00:00:00",0,0.000215384,0,0,6250,125,0,1,0,0,0
"173","2009-12-13 00:00:00",0,0.000215653846153846,0,0,5200,104,0,1,0,0,0
"174","2009-12-15 00:00:00",0,0.00022401724137931,0,5450,11250,117,0,1,0,0,0
"175","2009-12-17 00:00:00",0,0.000224105590062112,0,201,8300,163,0,1,0,0,0
"176","2009-12-19 00:00:00",0,0.00021653125,0,50,11250,225,0,1,0,0,0
"177","2009-12-21 00:00:00",0,0.000216524064171123,0,50,9400,188,0,1,0,0,0
"178","2009-12-23 00:00:00",0,0.000215639053254438,0,0,8450,169,0,1,0,0,0
"179","2009-12-25 00:00:00",0,0.000217222929936306,0,1,7900,158,0,1,0,0,0
"180","2009-12-27 00:00:00",0,0.000219715976331361,0,250,8700,170,0,1,0,0,0
"181","2009-12-29 00:00:00",0,0.000215658536585366,0,0,8200,164,0,1,0,0,0
"182","2009-12-31 00:00:00",0,0.000215633333333333,0,0,7500,150,0,1.18289953431284,0,0,0
"183","2010-01-02 00:00:00",0,0.000218084615384615,0,100,6600,132,0,1.18289953431284,0,0,0
"184","2010-01-04 00:00:00",0,0.000266563157894737,0,20778,30304.35,192,0,1.18289953431284,0,0,0
"185","2010-01-06 00:00:00",0,0.000215727848101266,0,0,7900,158,0,1.18289953431284,0,0,0
"186","2010-01-08 00:00:00",0,0.000215733333333333,0,0,7500,150,0,1.18289953431284,0,0,0
"187","2010-01-10 00:00:00",0,0.000215811518324607,0,0,9550,191,0,1.18289953431284,0,0,0
"188","2010-01-12 00:00:00",0,0.000365469879518072,0,10749,19099.88,168,0,1.30506213159152,0,0,0.26
"189","2010-01-14 00:00:00",0,0.000217708860759494,0,1,7905,159,0,1.30506213159152,0,0,0
"190","2010-01-16 00:00:00",0,0.000220208955223881,0,201,6900.74,135,0,1.30506213159152,0,0,0
"191","2010-01-18 00:00:00",0,0.000215515384615385,0,0,6500,130,0,1.30506213159152,0,0,0
"192","2010-01-20 00:00:00",0,0.000215507142857143,0,0,7000,140,0,1.30506213159152,0,0,0
"193","2010-01-22 00:00:00",0,0.000219246666666667,0,200,7700,152,0,1.30506213159152,0,0,0
"194","2010-01-24 00:00:00",0,0.00021988275862069,0,54,7351,148,0,1.30506213159152,0,0,0
"195","2010-01-26 00:00:00",0,0.000229594059405941,0,725,10973,208,0,1.34422497077103,0,0,0
"196","2010-01-28 00:00:00",0,0.000240705202312139,0,1850,10500,176,0,1.34422497077103,0,0,0
"197","2010-01-30 00:00:00",0,0.000226611111111111,0,800,9800,183,0,1.34422497077103,0,0,0
"198","2010-02-01 00:00:00",0,0.00024422905027933,0,2700,12300,189,0,1.34422497077103,0,0,0
"199","2010-02-03 00:00:00",0,0.000228740740740741,0,1350,13500,246,0,1.34422497077103,0,0,0
"200","2010-02-05 00:00:00",0,0.00034634693877551,0,13768,26099,250,0,1.81864853614541,0,0,0
"201","2010-02-07 00:00:00",0,0.000227033816425121,0,802,11249,210,0,1.81864853614541,0,0,0
"202","2010-02-09 00:00:00",0,0.000218224880382775,0,200,10650,211,0,1.81864853614541,0,0,0
"203","2010-02-11 00:00:00",0,0.000226578651685393,0,800,9700,181,0,1.81864853614541,0,0,0
"204","2010-02-13 00:00:00",0,0.00023878125,0,2199,13399,227,0,1.81864853614541,0,0,0
"205","2010-02-15 00:00:00",0,0.000258908108108108,0,3065,12450,194,0,2.52773821507236,0,0,0
"206","2010-02-17 00:00:00",0,0.000234775862068966,0,36500,65173.13,244,0,2.52773821507236,0,0,0
"207","2010-02-19 00:00:00",0,0.000227748603351955,0,700,9749.98,183,0,2.52773821507236,0,0,0
"208","2010-02-21 00:00:00",0,0.000233892523364486,0,1553,12266.83,218,0,2.52773821507236,0,0,0
"209","2010-02-23 00:00:00",0,0.000216334661354582,0,50,12600,252,0,2.52773821507236,0,0,0
"210","2010-02-25 00:00:00",0,0.000226905405405405,0,700,8100,150,0,3.78117925203377,0,0,0
"211","2010-02-27 00:00:00",0,0.000223416184971098,0,450,9101,176,0,3.78117925203377,0,0,0
"212","2010-03-01 00:00:00",0,0.000228225806451613,0,1000,10300,187,0,3.78117925203377,0,0,0
"213","2010-03-03 00:00:00",0,0.000220128378378378,0,250,7650,151,0,3.78117925203377,0,0,0
