btc,btc_1,btc_2,btc_3,eth,eth_1,eth_2,eth_3,ltc,ltc_1,ltc_2,ltc_3,xrp,xrp_1,xrp_2,xrp_3
995.4,1017.0,1033.3,1135.4,8.2,8.37,9.74,11.0,4.51,4.56,4.55,4.55,0.00635,0.0063100000000000005,0.006409999999999999,0.006409999999999999
1017.0,1033.3,1135.4,989.3,8.37,9.74,11.0,10.15,4.56,4.55,4.55,4.23,0.0063100000000000005,0.006409999999999999,0.006409999999999999,0.00628
1033.3,1135.4,989.3,886.2,9.74,11.0,10.15,10.08,4.55,4.55,4.23,3.88,0.006409999999999999,0.006409999999999999,0.00628,0.006220000000000001
1135.4,989.3,886.2,888.9,11.0,10.15,10.08,9.84,4.55,4.23,3.88,3.98,0.006409999999999999,0.00628,0.006220000000000001,0.00636
989.3,886.2,888.9,900.9,10.15,10.08,9.84,10.28,4.23,3.88,3.98,4.03,0.00628,0.006220000000000001,0.00636,0.00625
886.2,888.9,900.9,899.8,10.08,9.84,10.28,10.26,3.88,3.98,4.03,4.39,0.006220000000000001,0.00636,0.00625,0.00618
888.9,900.9,899.8,904.4,9.84,10.28,10.26,10.61,3.98,4.03,4.39,4.67,0.00636,0.00625,0.00618,0.006809999999999999
900.9,899.8,904.4,785.4,10.28,10.26,10.61,9.79,4.03,4.39,4.67,4.02,0.00625,0.00618,0.006809999999999999,0.006540000000000001
899.8,904.4,785.4,810.1,10.26,10.61,9.79,9.83,4.39,4.67,4.02,4.0,0.00618,0.006809999999999999,0.006540000000000001,0.00636
904.4,785.4,810.1,824.8,10.61,9.79,9.83,9.67,4.67,4.02,4.0,3.97,0.006809999999999999,0.006540000000000001,0.00636,0.006670000000000001
785.4,810.1,824.8,819.6,9.79,9.83,9.67,9.67,4.02,4.0,3.97,4.0,0.006540000000000001,0.00636,0.006670000000000001,0.006790000000000001
810.1,824.8,819.6,821.2,9.83,9.67,9.67,9.81,4.0,3.97,4.0,3.96,0.00636,0.006670000000000001,0.006790000000000001,0.006809999999999999
824.8,819.6,821.2,827.3,9.67,9.67,9.81,9.61,3.97,4.0,3.96,3.88,0.006670000000000001,0.006790000000000001,0.006809999999999999,0.00678
819.6,821.2,827.3,899.7,9.67,9.81,9.61,10.12,4.0,3.96,3.88,3.93,0.006790000000000001,0.006809999999999999,0.00678,0.00683
821.2,827.3,899.7,872.0,9.81,9.61,10.12,10.19,3.96,3.88,3.93,3.89,0.006809999999999999,0.00678,0.00683,0.0068
827.3,899.7,872.0,895.2,9.61,10.12,10.19,10.38,3.88,3.93,3.89,3.88,0.00678,0.00683,0.0068,0.006840000000000001
899.7,872.0,895.2,892.9,10.12,10.19,10.38,10.62,3.93,3.89,3.88,3.88,0.00683,0.0068,0.006840000000000001,0.0066
872.0,895.2,892.9,919.8,10.19,10.38,10.62,10.95,3.89,3.88,3.88,3.92,0.0068,0.006840000000000001,0.0066,0.006840000000000001
895.2,892.9,919.8,918.8,10.38,10.62,10.95,10.64,3.88,3.88,3.92,3.86,0.006840000000000001,0.0066,0.006840000000000001,0.00678
892.9,919.8,918.8,921.5,10.62,10.95,10.64,10.77,3.88,3.92,3.86,3.85,0.0066,0.006840000000000001,0.00678,0.006690000000000001
919.8,918.8,921.5,893.8,10.95,10.64,10.77,10.5,3.92,3.86,3.85,3.76,0.006840000000000001,0.00678,0.006690000000000001,0.0065
918.8,921.5,893.8,894.4,10.64,10.77,10.5,10.48,3.86,3.85,3.76,3.69,0.00678,0.006690000000000001,0.0065,0.006490000000000001
921.5,893.8,894.4,915.6,10.77,10.5,10.48,10.63,3.85,3.76,3.69,3.86,0.006690000000000001,0.0065,0.006490000000000001,0.0063
893.8,894.4,915.6,918.0,10.5,10.48,10.63,10.5,3.76,3.69,3.86,3.9,0.0065,0.006490000000000001,0.0063,0.00636
894.4,915.6,918.0,918.5,10.48,10.63,10.5,10.51,3.69,3.86,3.9,3.87,0.006490000000000001,0.0063,0.00636,0.00639
915.6,918.0,918.5,914.5,10.63,10.5,10.51,10.46,3.86,3.9,3.87,3.88,0.0063,0.00636,0.00639,0.0063100000000000005
918.0,918.5,914.5,920.7,10.5,10.51,10.46,10.53,3.9,3.87,3.88,4.03,0.00636,0.00639,0.0063100000000000005,0.00645
918.5,914.5,920.7,965.5,10.51,10.46,10.53,10.71,3.87,3.88,4.03,4.07,0.00639,0.0063100000000000005,0.00645,0.006409999999999999
914.5,920.7,965.5,982.4,10.46,10.53,10.71,10.71,3.88,4.03,4.07,4.08,0.0063100000000000005,0.00645,0.006409999999999999,0.006490000000000001
920.7,965.5,982.4,1004.0,10.53,10.71,10.71,10.8,4.03,4.07,4.08,4.09,0.00645,0.006409999999999999,0.006490000000000001,0.0064
965.5,982.4,1004.0,1013.0,10.71,10.71,10.8,10.93,4.07,4.08,4.09,4.06,0.006409999999999999,0.006490000000000001,0.0064,0.006379999999999999
982.4,1004.0,1013.0,1031.8,10.71,10.8,10.93,11.32,4.08,4.09,4.06,4.02,0.006490000000000001,0.0064,0.006379999999999999,0.00644
1004.0,1013.0,1031.8,1016.1,10.8,10.93,11.32,11.18,4.09,4.06,4.02,3.97,0.0064,0.006379999999999999,0.00644,0.00629
1013.0,1031.8,1016.1,1024.7,10.93,11.32,11.18,11.32,4.06,4.02,3.97,3.97,0.006379999999999999,0.00644,0.00629,0.006379999999999999
1031.8,1016.1,1024.7,1049.6,11.32,11.18,11.32,11.41,4.02,3.97,3.97,3.98,0.00644,0.00629,0.006379999999999999,0.006409999999999999
1016.1,1024.7,1049.6,1055.5,11.18,11.32,11.41,11.35,3.97,3.97,3.98,3.96,0.00629,0.006379999999999999,0.006409999999999999,0.00635
1024.7,1049.6,1055.5,979.0,11.32,11.41,11.35,10.9,3.97,3.98,3.96,3.76,0.006379999999999999,0.006409999999999999,0.00635,0.00628
1049.6,1055.5,979.0,997.6,11.41,11.35,10.9,11.3,3.98,3.96,3.76,3.83,0.006409999999999999,0.00635,0.00628,0.0063100000000000005
1055.5,979.0,997.6,1008.3,11.35,10.9,11.3,11.33,3.96,3.76,3.83,3.84,0.00635,0.00628,0.0063100000000000005,0.006379999999999999
979.0,997.6,1008.3,996.5,10.9,11.3,11.33,11.26,3.76,3.83,3.84,3.8,0.00628,0.0063100000000000005,0.006379999999999999,0.00627
