"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2019","90.67","84.10","94.33","83.66","320.60K","7.90%"
"Dec 31, 2018","84.03","87.24","87.24","83.58","152.90K","-3.64%"
"Dec 30, 2018","87.21","86.69","88.43","85.61","174.45K","0.61%"
"Dec 29, 2018","86.69","91.73","92.31","86.35","266.27K","-5.50%"
"Dec 28, 2018","91.73","83.64","92.79","81.02","395.96K","9.95%"
"Dec 27, 2018","83.43","93.17","96.58","82.44","314.21K","-10.46%"
"Dec 26, 2018","93.18","92.15","97.72","89.57","386.76K","1.05%"
"Dec 25, 2018","92.20","101.49","101.49","88.16","501.87K","-9.13%"
"Dec 24, 2018","101.47","105.84","110.84","100.07","529.39K","-4.12%"
"Dec 23, 2018","105.83","107.82","112.74","103.14","480.94K","-1.84%"
"Dec 22, 2018","107.82","107.18","113.10","101.09","583.80K","0.58%"
"Dec 21, 2018","107.20","110.09","129.11","101.50","1.34M","-2.61%"
"Dec 20, 2018","110.07","84.92","123.05","83.57","1.36M","29.61%"
"Dec 19, 2018","84.93","83.63","96.34","81.65","725.47K","1.55%"
"Dec 18, 2018","83.63","81.35","84.84","76.71","440.55K","2.80%"
"Dec 17, 2018","81.35","77.27","81.81","74.70","445.05K","5.28%"
"Dec 16, 2018","77.27","67.82","79.86","67.37","449.11K","13.94%"
"Dec 15, 2018","67.82","70.12","73.76","64.15","301.75K","-3.27%"
"Dec 14, 2018","70.12","78.24","81.62","69.17","312.03K","-10.41%"
"Dec 13, 2018","78.26","88.13","88.38","76.92","236.58K","-11.25%"
"Dec 12, 2018","88.19","89.07","95.78","87.32","167.78K","-2.39%"
"Dec 11, 2018","90.35","94.14","94.29","86.37","212.25K","-4.02%"
"Dec 10, 2018","94.13","96.10","100.73","93.72","203.49K","-2.06%"
"Dec 09, 2018","96.11","97.18","99.28","91.46","268.40K","-1.36%"
"Dec 08, 2018","97.43","103.39","103.92","96.49","259.80K","-5.73%"
"Dec 07, 2018","103.35","103.45","115.46","94.10","704.15K","-0.11%"
"Dec 06, 2018","103.47","86.64","110.19","86.58","655.77K","19.43%"
"Dec 05, 2018","86.64","90.17","93.80","84.97","292.89K","-3.92%"
"Dec 04, 2018","90.17","94.80","95.19","89.67","240.81K","-5.00%"
"Dec 03, 2018","94.92","100.36","100.84","91.53","404.85K","-5.42%"
"Dec 02, 2018","100.36","93.79","104.04","92.34","516.55K","7.27%"
"Dec 01, 2018","93.56","95.52","96.97","88.12","348.68K","-2.05%"
"Nov 30, 2018","95.52","98.94","107.00","92.97","520.84K","-3.45%"
"Nov 29, 2018","98.93","100.28","102.47","91.63","469.39K","-1.34%"
"Nov 28, 2018","100.27","98.75","111.34","83.74","958.06K","1.54%"
"Nov 27, 2018","98.75","119.52","129.01","86.83","899.21K","-17.38%"
"Nov 26, 2018","119.52","92.59","135.30","89.79","1.62M","29.08%"
"Nov 25, 2018","92.59","59.78","99.91","56.68","1.24M","54.90%"
"Nov 24, 2018","59.78","55.40","71.82","52.64","757.29K","5.11%"
"Nov 23, 2018","56.87","43.38","63.58","37.59","672.78K","32.19%"
"Nov 22, 2018","43.02","54.40","55.49","42.67","230.57K","-20.92%"
"Nov 21, 2018","54.40","55.92","59.62","51.87","263.68K","-2.72%"
"Nov 20, 2018","55.92","71.97","74.13","51.17","552.35K","-22.30%"
"Nov 19, 2018","71.97","107.67","110.42","70.41","413.76K","-33.16%"
