"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2019","1.00627","0.99955","1.00755","0.99897","1.36M","0.67%"
"Dec 31, 2018","0.99955","1.00825","1.01129","0.99955","2.67M","-0.86%"
"Dec 30, 2018","1.00825","1.00974","1.01192","1.00485","2.28M","-0.15%"
"Dec 29, 2018","1.00974","1.01437","1.01844","1.00544","3.47M","-0.20%"
"Dec 28, 2018","1.01171","1.00748","1.01734","1.00428","7.10M","0.42%"
"Dec 27, 2018","1.00748","1.01622","1.01622","1.00601","2.50M","-0.21%"
"Dec 26, 2018","1.00965","1.01156","1.01898","1.00724","1.24M","-0.19%"
"Dec 25, 2018","1.01156","1.00532","1.01361","1.00327","2.30M","0.62%"
"Dec 24, 2018","1.00532","1.00995","1.01146","1.00337","4.43M","0.13%"
"Dec 23, 2018","1.00398","1.01463","1.01497","1.00321","1.45M","-0.42%"
"Dec 22, 2018","1.00818","1.00216","1.00848","0.99989","2.55M","0.75%"
"Dec 21, 2018","1.00072","1.00649","1.01048","1.00060","4.07M","-0.57%"
"Dec 20, 2018","1.00649","1.00472","1.01392","1.00026","8.73M","0.18%"
"Dec 19, 2018","1.00472","1.00903","1.01453","0.99777","5.08M","0.08%"
"Dec 18, 2018","1.00390","0.99737","1.00444","0.99666","5.55M","0.65%"
"Dec 17, 2018","0.99737","0.99190","1.00297","0.99183","3.52M","0.55%"
"Dec 16, 2018","0.99190","0.99223","0.99931","0.98973","1.19M","-0.03%"
"Dec 15, 2018","0.99223","0.99325","0.99842","0.99102","1.05M","-0.08%"
"Dec 14, 2018","0.99298","0.98843","0.99334","0.98638","2.44M","0.46%"
"Dec 13, 2018","0.98843","0.99552","1.00448","0.98672","6.53M","-0.71%"
"Dec 12, 2018","0.99552","1.00298","1.00298","0.99446","1.98M","0.28%"
"Dec 11, 2018","0.99276","1.00762","1.01039","0.98847","2.40M","-0.43%"
"Dec 10, 2018","0.99706","0.99496","1.00043","0.99365","1.32M","0.21%"
"Dec 09, 2018","0.99496","0.99642","1.00041","0.99415","1.51M","-0.15%"
"Dec 08, 2018","0.99642","0.99310","1.00067","0.98865","3.65M","0.33%"
"Dec 07, 2018","0.99310","0.98402","0.99784","0.98395","8.53M","1.23%"
"Dec 06, 2018","0.98100","0.98256","0.99111","0.98047","2.87M","-0.23%"
"Dec 05, 2018","0.98327","0.98795","1.00363","0.98094","2.25M","-0.47%"
"Dec 04, 2018","0.98795","0.98935","0.99559","0.98675","3.09M","-0.14%"
"Dec 03, 2018","0.98935","0.98425","0.99274","0.98354","1.82M","0.52%"
"Dec 02, 2018","0.98425","0.98811","0.99904","0.98333","1.24M","-0.39%"
"Dec 01, 2018","0.98811","0.98572","0.99234","0.98378","2.32M","0.24%"
"Nov 30, 2018","0.98573","0.98890","0.99303","0.98119","2.86M","-0.32%"
"Nov 29, 2018","0.98890","0.98910","0.99305","0.98419","5.71M","-0.02%"
"Nov 28, 2018","0.98910","0.97788","0.99033","0.97358","13.36M","1.82%"
"Nov 27, 2018","0.97142","0.96560","0.97636","0.96560","5.78M","0.60%"
"Nov 26, 2018","0.96560","0.96257","0.97332","0.95469","6.58M","0.31%"
"Nov 25, 2018","0.96257","0.96367","0.97339","0.94719","9.56M","-0.11%"
"Nov 24, 2018","0.96367","0.97092","0.99086","0.95887","8.16M","-0.75%"
"Nov 23, 2018","0.97092","0.97790","0.98155","0.96919","5.58M","-0.71%"
"Nov 22, 2018","0.97790","0.98333","0.98397","0.97120","5.24M","0.40%"
"Nov 21, 2018","0.97400","0.95711","0.97783","0.95711","8.20M","1.76%"
"Nov 20, 2018","0.95711","0.96367","0.97482","0.93188","18.03M","-0.68%"
"Nov 19, 2018","0.96366","0.99816","0.99816","0.96364","15.65M","-2.14%"
"Nov 18, 2018","0.98472","0.97981","0.99310","0.97981","7.60M","0.50%"
"Nov 17, 2018","0.97981","0.97649","0.99524","0.97649","9.61M","0.34%"
"Nov 16, 2018","0.97649","0.97056","0.98457","0.97056","10.08M","0.61%"
"Nov 15, 2018","0.97056","0.95061","0.97988","0.95061","14.56M","2.10%"
"Nov 14, 2018","0.95061","0.96931","0.98056","0.94201","12.70M","-1.93%"
"Nov 13, 2018","0.96931","0.98032","0.98816","0.96927","4.34M","-1.13%"
"Nov 12, 2018","0.98037","0.98654","0.99302","0.98032","5.07M","-0.63%"
"Nov 11, 2018","0.98655","1.00083","1.00164","0.98533","3.16M","-0.14%"
"Nov 10, 2018","0.98791","0.98710","0.99188","0.98624","2.69M","0.08%"
