"","Date","eur_price","eur_open","eur_high","eur_low","eur_change","gbp_price","gbp_open","gbp_high","gbp_low","gbp_change"
"257","2016-01-01",1.086,1.0862,1.0869,1.0845,-0.01,1.4748,1.4739,1.4753,1.4739,0.06
"264","2016-01-04",1.0831,1.0858,1.0949,1.0783,-0.27,1.4718,1.4748,1.4815,1.4663,-0.2
"267","2016-01-05",1.0748,1.0831,1.084,1.0711,-0.77,1.4672,1.4712,1.4726,1.4637,-0.31
"270","2016-01-06",1.0781,1.0749,1.0802,1.0721,0.31,1.4627,1.4675,1.4683,1.4601,-0.31
"272","2016-01-07",1.0936,1.0779,1.0941,1.077,1.44,1.4617,1.463,1.4642,1.4533,-0.07
"273","2016-01-08",1.0932,1.0934,1.0936,1.0804,-0.04,1.452,1.4617,1.4646,1.4506,-0.66
"279","2016-01-11",1.086,1.0923,1.0969,1.0847,-0.66,1.4544,1.4526,1.4608,1.4497,0.17
"282","2016-01-12",1.0857,1.0859,1.0904,1.0822,-0.03,1.4444,1.4539,1.456,1.435,-0.69
"285","2016-01-13",1.0877,1.0858,1.0891,1.0807,0.18,1.4407,1.4444,1.4476,1.4379,-0.26
"287","2016-01-14",1.0865,1.088,1.0945,1.0835,-0.11,1.4414,1.4404,1.4446,1.4359,0.05
"288","2016-01-15",1.0917,1.0866,1.0987,1.0855,0.48,1.4258,1.4416,1.4431,1.4251,-1.08
"294","2016-01-18",1.0892,1.0918,1.0941,1.0869,-0.23,1.4244,1.4262,1.4325,1.4236,-0.1
"297","2016-01-19",1.0909,1.0892,1.0941,1.0861,0.16,1.4158,1.4242,1.4341,1.4129,-0.6
"300","2016-01-20",1.0891,1.091,1.0977,1.0877,-0.16,1.4191,1.4154,1.422,1.4124,0.23
"302","2016-01-21",1.0874,1.0893,1.0922,1.0779,-0.16,1.4218,1.4189,1.4249,1.408,0.19
"303","2016-01-22",1.0797,1.0874,1.0879,1.079,-0.71,1.4265,1.4222,1.4364,1.4204,0.33
"309","2016-01-25",1.0849,1.0799,1.0858,1.0788,0.48,1.4249,1.427,1.4311,1.4223,-0.11
"312","2016-01-26",1.0871,1.085,1.0875,1.0819,0.2,1.4352,1.4249,1.4368,1.4173,0.72
"315","2016-01-27",1.0893,1.0871,1.0917,1.0851,0.2,1.4234,1.4352,1.4358,1.423,-0.82
"317","2016-01-28",1.0939,1.0891,1.0969,1.0869,0.42,1.4362,1.4236,1.4412,1.4234,0.9
"318","2016-01-29",1.0837,1.0938,1.0951,1.0812,-0.93,1.4247,1.4362,1.4415,1.415,-0.8
"196","2016-02-01",1.0888,1.0833,1.0915,1.0814,0.47,1.4433,1.4243,1.4448,1.4228,1.31
"199","2016-02-02",1.0919,1.0892,1.0944,1.0886,0.28,1.4411,1.4434,1.4447,1.4326,-0.15
"202","2016-02-03",1.1104,1.0917,1.1146,1.0903,1.69,1.4604,1.4414,1.4653,1.4386,1.34
"204","2016-02-04",1.1208,1.1104,1.124,1.107,0.94,1.4589,1.4602,1.467,1.4529,-0.1
"205","2016-02-05",1.1159,1.1209,1.1246,1.111,-0.44,1.4503,1.459,1.4594,1.4453,-0.59
"211","2016-02-08",1.1198,1.1159,1.1218,1.1087,0.35,1.4432,1.4501,1.4547,1.4352,-0.49
"214","2016-02-09",1.1293,1.1197,1.1339,1.1163,0.85,1.4473,1.443,1.4517,1.4378,0.28
"217","2016-02-10",1.129,1.1292,1.1311,1.1159,-0.03,1.4522,1.4468,1.4579,1.4448,0.34
"219","2016-02-11",1.1324,1.1292,1.1378,1.1274,0.3,1.4477,1.4522,1.4565,1.4384,-0.31
"220","2016-02-12",1.126,1.1328,1.1335,1.1215,-0.57,1.4507,1.4479,1.4572,1.4444,0.21
"226","2016-02-15",1.1155,1.1251,1.1253,1.1127,-0.93,1.4435,1.4501,1.4537,1.4413,-0.5
"229","2016-02-16",1.1144,1.1155,1.1196,1.1123,-0.1,1.4305,1.4438,1.4518,1.4279,-0.9
"232","2016-02-17",1.1128,1.1143,1.118,1.1104,-0.14,1.4297,1.4303,1.4341,1.4236,-0.06
"234","2016-02-18",1.1107,1.113,1.1153,1.1072,-0.19,1.4337,1.4299,1.4398,1.4259,0.28
"235","2016-02-19",1.1134,1.1107,1.114,1.1067,0.24,1.4406,1.4333,1.4411,1.4248,0.48
"241","2016-02-22",1.1029,1.1128,1.1137,1.1003,-0.94,1.415,1.431,1.432,1.4058,-1.78
"244","2016-02-23",1.102,1.1031,1.1055,1.0991,-0.08,1.4022,1.4149,1.4156,1.4005,-0.9
"247","2016-02-24",1.1013,1.1019,1.1047,1.0957,-0.06,1.3927,1.4022,1.4029,1.3877,-0.68
"249","2016-02-25",1.1023,1.1014,1.1052,1.0987,0.09,1.3963,1.3924,1.3997,1.3898,0.26
"250","2016-02-26",1.0934,1.102,1.1071,1.0913,-0.81,1.387,1.3962,1.4045,1.3855,-0.67
"256","2016-02-29",1.0873,1.0932,1.0964,1.0858,-0.56,1.3916,1.3869,1.3947,1.3834,0.33
"453","2016-03-01",1.0867,1.0873,1.0896,1.0835,-0.06,1.3948,1.3918,1.4019,1.3904,0.23
"456","2016-03-02",1.0868,1.0868,1.0881,1.0825,0.01,1.4078,1.3948,1.4094,1.3914,0.93
"459","2016-03-03",1.0957,1.0867,1.0974,1.0853,0.82,1.4179,1.4078,1.4196,1.4032,0.72
"461","2016-03-04",1.1004,1.0958,1.1045,1.0903,0.43,1.4228,1.4179,1.4249,1.4108,0.35
"465","2016-03-07",1.1014,1.1008,1.1027,1.094,0.09,1.4265,1.4234,1.4284,1.4135,0.26
"468","2016-03-08",1.1011,1.1014,1.1059,1.0992,-0.03,1.4216,1.4266,1.4276,1.4173,-0.34
"471","2016-03-09",1.0999,1.1012,1.1037,1.0946,-0.11,1.4217,1.4217,1.4244,1.4177,0.01
"474","2016-03-10",1.1177,1.0998,1.1218,1.0821,1.62,1.428,1.422,1.4322,1.4121,0.44
"476","2016-03-11",1.1153,1.1177,1.1212,1.1081,-0.21,1.4387,1.4281,1.4438,1.4254,0.75
"480","2016-03-14",1.1106,1.1151,1.1177,1.1076,-0.42,1.4302,1.4384,1.4391,1.4291,-0.59
"483","2016-03-15",1.1109,1.11,1.1125,1.1071,0.03,1.4153,1.4301,1.4309,1.4139,-1.04
"486","2016-03-16",1.1225,1.111,1.1245,1.1058,1.04,1.4259,1.415,1.4274,1.4053,0.75
"489","2016-03-17",1.1319,1.1224,1.1344,1.1205,0.84,1.4479,1.4258,1.4503,1.422,1.54
"491","2016-03-18",1.127,1.1319,1.1339,1.1257,-0.43,1.448,1.4482,1.4516,1.4411,0.01
